"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.358498096466064
2,1778125,"UNSAT",0.289191007614136
3,1462221,"UNSAT",0.247020959854126
4,1304269,"UNSAT",0.225380659103394
5,1225421,"UNSAT",0.22028923034668
6,1185997,"UNSAT",0.216163396835327
7,1166285,"UNSAT",0.208465576171875
8,1156301,"UNSAT",0.208725690841675
9,1151437,"UNSAT",0.210453271865845
10,1148877,"UNSAT",0.208507061004639
11,1147597,"UNSAT",0.212427854537964
12,1147085,"UNSAT",0.211995124816895
13,1146829,"UNSAT",0.211962938308716
14,1146573,"SAT",633.272936582565
